  Level 5  Grids 101  Memory(MB) 123.096  Coverage 3.41935e-06  Ratio 2.23796  Flagged 0  Active 234976
  Level 6  Grids 53  Memory(MB) 50.38  Coverage 1.46814e-07  Ratio 2.15336  Flagged 0  Active 80712
  Level 7  Grids 30  Memory(MB) 24.6444  Coverage 7.88168e-09  Ratio 1.97683  Flagged 0  Active 34664
  Level 8  Grids 26  Memory(MB) 19.4497  Coverage 7.22821e-10  Ratio 1.93013  Flagged 0  Active 25432
  Level 9  Grids 27  Memory(MB) 19.1593  Coverage 8.75104e-11  Ratio 2.11667  Flagged 0  Active 24632
  Level 10  Grids 18  Memory(MB) 11.4682  Coverage 5.99698e-12  Ratio 2.01574  Flagged 0  Active 13504

Cycle 483  Time 45.500002377893  MaxDepth 10  Grids 1445  Memory(MB) 3982.29  Ratio 2.07873
  Level 0  Grids 192  Memory(MB) 836.478  Coverage 1  Ratio 2  Flagged 0  Active 2097152
  Level 1  Grids 629  Memory(MB) 2198.87  Coverage 0.321116  Ratio 1.91854  Flagged 0  Active 5387440
  Level 2  Grids 158  Memory(MB) 342.254  Coverage 0.00565493  Ratio 2.38864  Flagged 0  Active 758992
  Level 3  Grids 93  Memory(MB) 199.578  Coverage 0.000411093  Ratio 2.27428  Flagged 0  Active 441408
  Level 4  Grids 100  Memory(MB) 154.941  Coverage 3.73134e-05  Ratio 2.37861  Flagged 0  Active 320520
  Level 5  Grids 107  Memory(MB) 124.202  Coverage 3.35323e-06  Ratio 2.35218  Flagged 0  Active 230432
  Level 6  Grids 61  Memory(MB) 51.6337  Coverage 1.42274e-07  Ratio 2.23575  Flagged 0  Active 78216
  Level 7  Grids 35  Memory(MB) 24.5515  Coverage 7.1268e-09  Ratio 2.03048  Flagged 0  Active 31344
  Level 8  Grids 27  Memory(MB) 19.5726  Coverage 7.07814e-10  Ratio 2.02407  Flagged 0  Active 24904
  Level 9  Grids 24  Memory(MB) 18.2165  Coverage 8.7482e-11  Ratio 1.84653  Flagged 0  Active 24624
  Level 10  Grids 19  Memory(MB) 12.0014  Coverage 6.00409e-12  Ratio 1.4807  Flagged 0  Active 13520

Cycle 484  Time 45.607848747728  MaxDepth 10  Grids 1444  Memory(MB) 3985.28  Ratio 2.08046
  Level 0  Grids 192  Memory(MB) 836.478  Coverage 1  Ratio 2  Flagged 0  Active 2097152
  Level 1  Grids 629  Memory(MB) 2203.38  Coverage 0.321144  Ratio 1.93179  Flagged 0  Active 5387896
  Level 2  Grids 158  Memory(MB) 344.938  Coverage 0.00567222  Ratio 2.48662  Flagged 0  Active 761312
  Level 3  Grids 96  Memory(MB) 192.999  Coverage 0.000394493  Ratio 2.26951  Flagged 0  Active 423584
  Level 4  Grids 105  Memory(MB) 154.75  Coverage 3.72445e-05  Ratio 2.32514  Flagged 0  Active 319928
  Level 5  Grids 99  Memory(MB) 123.632  Coverage 3.45113e-06  Ratio 2.24851  Flagged 0  Active 237160
  Level 6  Grids 58  Memory(MB) 51.736  Coverage 1.45257e-07  Ratio 2.07398  Flagged 0  Active 79856
  Level 7  Grids 36  Memory(MB) 25.8356  Coverage 7.65795e-09  Ratio 2.09931  Flagged 0  Active 33680
  Level 8  Grids 27  Memory(MB) 20.0081  Coverage 7.31006e-10  Ratio 1.86605  Flagged 0  Active 25720
  Level 9  Grids 24  Memory(MB) 17.6429  Coverage 8.08882e-11  Ratio 1.98125  Flagged 0  Active 22768
  Level 10  Grids 20  Memory(MB) 13.8738  Coverage 7.81242e-12  Ratio 1.68917  Flagged 0  Active 17592

